127.0.0.1 - - [24/Oct/2020:14:14:02 +1100] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Oct/2020:14:14:07 +1100] "GET /Admin/ HTTP/1.1" 200 1491
0:0:0:0:0:0:0:1 - - [24/Oct/2020:14:14:17 +1100] "GET /Admin/categoryServlet HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [24/Oct/2020:14:14:20 +1100] "GET /Admin/bookServlet HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - - [24/Oct/2020:14:14:22 +1100] "GET /Admin/bookServlet?action=new HTTP/1.1" 200 1713
0:0:0:0:0:0:0:1 - - [24/Oct/2020:14:14:27 +1100] "GET /Admin/bookServlet HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - - [24/Oct/2020:14:14:28 +1100] "GET /Admin/bookServlet?action=edit&id=0 HTTP/1.1" 200 1764
0:0:0:0:0:0:0:1 - - [24/Oct/2020:14:14:37 +1100] "GET /Admin/bookServlet HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - - [24/Oct/2020:14:14:52 +1100] "GET /Admin/bookServlet?action=new HTTP/1.1" 200 1713
0:0:0:0:0:0:0:1 - - [24/Oct/2020:14:15:02 +1100] "GET /Admin/bookServlet HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - - [24/Oct/2020:14:15:03 +1100] "GET /Admin/categoryServlet HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [24/Oct/2020:14:15:13 +1100] "GET /Admin/categoryServlet?action=new HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [24/Oct/2020:14:15:15 +1100] "GET /Admin/categoryServlet HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [24/Oct/2020:14:15:33 +1100] "GET /Admin/bookServlet HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - - [24/Oct/2020:14:17:16 +1100] "GET /Admin/categoryServlet HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [24/Oct/2020:14:17:18 +1100] "GET /Admin/categoryServlet?action=new HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [24/Oct/2020:14:17:21 +1100] "GET /Admin/categoryServlet HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [24/Oct/2020:14:17:22 +1100] "GET /Admin/categoryServlet?action=edit&id=1 HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [24/Oct/2020:14:17:23 +1100] "GET /Admin/categoryServlet HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [24/Oct/2020:14:17:25 +1100] "GET /Admin/bookServlet HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - - [24/Oct/2020:14:17:26 +1100] "GET /Admin/bookServlet?action=edit&id=0 HTTP/1.1" 200 1764
0:0:0:0:0:0:0:1 - - [24/Oct/2020:14:17:29 +1100] "GET /Admin/bookServlet HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - - [24/Oct/2020:14:24:55 +1100] "GET /Admin/bookServlet?action=new HTTP/1.1" 200 1713
0:0:0:0:0:0:0:1 - - [24/Oct/2020:14:25:05 +1100] "GET /Admin/bookServlet HTTP/1.1" 200 4438
